pytanie,odpowiedz_wygenerowana,zwrocone_linki
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Dziekanat jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach 11:00-14:00."
W jakich pokojach w Gmachu MiNI można znaleźć dr. inż. Krzysztofa Kaczmarskiego?,Dr inż. Krzysztof Kaczmarski jest dostępny w pokoju 28 w Gmachu MiNI na Kampusie Głównym PW.
Pod jakim numerem telefonu można skontaktować się z dziekanatem w sprawach dotyczących kierunku Inżynieria i Analiza Danych?,Numer telefonu do Dziekanatu w sprawach dotyczących kierunku Inżynieria i Analiza Danych to 22 234-59-22.
Jakie przedmioty stanowią wymagania wstępne do uczestnictwa w zajęciach z przedmiotu Gry kombinatoryczne?,"Wymagania wstępne dla przedmiotu Gry kombinatoryczne obejmują matematykę dyskretną, algebrę liniową oraz rachunek prawdopodobieństwa."
Do kogo nauczyciel akademicki składa wniosek o wyrażenie zgody na odbycie przez studenta praktyki wewnętrznej na Wydziale MiNI?,Nauczyciel akademicki składa wniosek o wyrażenie zgody na praktyki do Prodziekana ds. Studenckich.
Jakie są konsekwencje stwierdzenia niesamodzielności pracy studenta podczas sprawdzianu?,Stwierdzenie niesamodzielności pracy studenta lub korzystania przez niego z materiałów lub urządzeń podczas weryfikacji osiągnięcia efektów uczenia się może skutkować konsekwencjami. W takim przypadku student traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji.
"Ile punktów ECTS musi uzyskać student pierwszego stopnia, aby zarejestrować się na czwarty semestr studiów?","Student pierwszego stopnia musi uzyskać co najmniej 45 punktów ECTS, aby zarejestrować się na czwarty semestr studiów."
"Jaki jest maksymalny próg dochodowy na osobę w rodzinie, aby móc otrzymać stypendium socjalne?","Maksymalny próg dochodu na osobę w rodzinie uprawniający do otrzymania stypendium socjalnego w roku akademickim 2025/2026 wynosi 1 908,90 zł netto od 1 października 2025 r."
"Ile tygodni praktyk studenckich musi zaliczyć do końca 3 semestru student na kierunku Matematyka (studia drugiego stopnia, specjalność: Indywidualne Studia Matematyczne)?",Student na kierunku Matematyka (studia drugiego stopnia) musi zaliczyć do końca 3 semestru praktyki studenckie trwające 3 tygodnie.
"Ile minimum punktów trzeba uzyskać, aby zaliczyć przedmiot Systemy wspomagania decyzji?",W dostępnych zasobach nie ma informacji o minimalnej liczbie punktów wymaganej do zaliczenia przedmiotu Systemy wspomagania decyzji.
Czy muszę złożyć w dziekanacie wydrukowany egzemplarz pracy dyplomowej?,"Nie, w dziekanacie nie składa się wydrukowanego egzemplarza pracy dyplomowej."
W jakich godzinach i dniach otwarty jest dziekanat dla studentów?,"Dziekanat jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach 11:00-14:00. W środy dziekanat jest nieczynny."
Pod jakim adresem e-mail można skontaktować się z dr hab. inż. Agnieszką Jastrzębską?,"Adresem e-mail, pod którym można skontaktować się z dr hab. inż. Agnieszką Jastrzębską, jest agnieszka.jastrzebska.mini@pw.edu.pl."
Czego dotyczy efekt uczenia się o symbolu MAD2SMAD_U05 dla specjalności Statystyka matematyczna i analiza danych (SMAD)?,Nie mam tej informacji w dostępnych zasobach.
Do kogo pracownik składa wniosek o wyrażenie zgody na odbycie przez studenta praktyk wewnętrznych na wydziale?,Pracownik składa wniosek o wyrażenie zgody na praktyki do Prodziekana ds. Studenckich.
Ile punktów ECTS otrzymam za zaliczenie przedmiotu Siła nauki - granice poznania?,Za zaliczenie przedmiotu Siła nauki - granice poznania otrzyma Pan/Pani 4 punkty ECTS.
Gdzie studenci powinni odłożyć swoje torby w trakcie pisania sprawdzianu lub egzaminu?,Torby powinny być odłożone pod ścianą sali z dala od studentów.
Ile maksymalnie razy można powtarzać rok w ciągu realizacji danego programu studiów?,W ciągu realizacji danego programu studiów można powtarzać rok tylko raz.
Pod jakim adresem e-mail można skontaktować się z dziekanatem w sprawach socjalnych?,Adresem e-mail do Dziekanatu w sprawach socjalnych jest wks.wmini@pw.edu.pl.
W jakim pokoju na wydziale urzęduje dr hab. inż. Jerzy Balicki?,"Pokój dr hab. inż. Jerzego Balickiego znajduje się w Kampusie Głównym PW, Gmachu MiNI, w pokoju 403."
Kto ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studenta odbywającego praktykę poza stałym miejscem zamieszkania?,Zasady dofinansowania poniesionych kosztów ustala Dziekan w porozumieniu z Wydziałową Radą Samorządu Studentów.
Jakie są wymagania wstępne dla przedmiotu Gry kombinatoryczne?,"Wymagania wstępne dla przedmiotu Gry kombinatoryczne obejmują matematykę dyskretną, algebrę liniową oraz rachunek prawdopodobieństwa."
Do czego służy system Fair Play wykorzystywany na wydziale?,System Fair Play wykorzystywany na Wydziale MiNI służy do ograniczania komunikacji elektronicznej oraz ściągania podczas punktowanych zaliczeń w laboratoriach komputerowych.
Ile punktów ECTS przypisano do przedmiotu Seminarium dyplomowe na 6 semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?,Przedmiotowi Seminarium dyplomowe na 6 semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych przypisano 2 punkty ECTS.
Jakie wstępnie proponowane tematy referatów zaplanowano w ramach przedmiotu Matematyka popularna?,"Wstępnie proponowane tematy referatów w ramach przedmiotu Matematyka popularna to: O pierwiastkach wielomianów czyli popularnie o twierdzeniu Galois, O systemach głosowania, Matematyka Gardnera oraz O pokrywaniu wielokątów na płaszczyźnie innymi wielokątami."
"Ile minimalnie punktów należy uzyskać, aby zaliczyć przedmiot Systemy wspomagania decyzji?",Nie mam tej informacji w dostępnych zasobach.
Przez jaki łączny okres student może otrzymywać świadczenia pomocy materialnej?,"Student może otrzymywać świadczenia materialne przez łączny okres 12 semestrów studiowania, bez względu na okres ich pobierania. W przypadku jednolitych studiów magisterskich trwających 11 lub 12 semestrów łączny okres świadczeń może być wydłużony maksymalnie o 2 semestry. Dodatkowo student, którego niepełnosprawność powstała w trakcie studiów, może otrzymać świadczenie przez dodatkowy okres 12 semestrów."
W jakim terminie promotor i recenzent powinni zamieścić recenzje pracy dyplomowej w systemie APD?,Promotor i recenzent powinni zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
W jakim zakładzie na wydziale pracuje dr inż. Marek Kozłowski?,Nie mam tej informacji w dostępnych zasobach.
Jaki jest całodobowy numer telefonu do Centrum Kierowania Straży Akademickiej PW?,Całodobowy numer telefonu do Centrum Kierowania Straży Akademickiej PW to 22 234 66 66.
W jakie dni tygodnia i w jakich godzinach otwarty jest dziekanat na wydziale?,"Dziekanat jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach 11:00-14:00."
Jaki jest bezpośredni link do zbiórki na portalu zrzutka.pl organizowanej w ramach akcji Szlachetna Paczka na PW?,Bezpośredni link do zbiórki na portalu zrzutka.pl organizowanej w ramach akcji Szlachetna Paczka na Politechnice Warszawskiej to https://zrzutka.pl/ufdk93.
"Ile punktów ECTS, nie wliczając praktyk, trzeba minimalnie uzyskać, aby zarejestrować się na 3 semestr studiów pierwszego stopnia?","Aby zarejestrować się na semestr 3 studiów pierwszego stopnia, należy uzyskać co najmniej 40 ECTS."
Ile punktów ECTS przypisano do przedmiotu Wstęp do uczenia maszynowego na 5 semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych?,Nie mam tej informacji w dostępnych zasobach.
Jaki dokument tożsamości powinien leżeć na stole studenta podczas sprawdzianu lub egzaminu?,Na stole studenta powinna leżeć osobista legitymacja studencka lub dowód osobisty.
Czy porozumienie w sprawie praktyk studenckich można dostarczyć w formie skanu?,"W dostępnych zasobach nie ma informacji o możliwości dostarczenia porozumienia w formie skanu. Kontekst wskazuje jedynie, że należy dostarczyć trzy egzemplarze porozumienia, z których każdy musi być podpisany przez pracodawcę oraz studenta."
"W jakie dni i w jakich godzinach odbywa się dyżur pełnomocnika ds. praktyk, dr. inż. Łukasza Błaszczyka?","Dyżur Pełnomocnika Dziekana ds. Praktyk Studenckich, dr. inż. Łukasza Błaszczyka, odbywa się w czwartki w godzinach 12:15–13:45."
Jakie jest przeznaczenie systemu Fair Play na wydziale MiNI?,"System Fair Play na Wydziale MiNI służy do ograniczania komunikacji elektronicznej oraz ściągania podczas zajęć w laboratorium komputerowym, w szczególności w trakcie punktowanych zaliczeń."
W jaki sposób oceniany jest student na przedmiocie Matematyka popularna?,"Ocena studenta na przedmiocie Matematyka popularna obejmuje ocenę prezentacji pod kątem poprawności merytorycznej oraz sposobu przedstawienia, co pozwala uzyskać maksymalnie 30 punktów, a także ocenę aktywności podczas wystąpień innych uczestników, za co można otrzymać maksymalnie 20 punktów. Zaliczenie przedmiotu odbywa się na ocenę, przy czym uzyskanie 61 punktów pozwala na otrzymanie oceny 3,5."
"Ile punktów minimalnie trzeba uzyskać, aby zaliczyć przedmiot Systemy wspomagania decyzji?",Nie mam tej informacji w dostępnych zasobach.
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent powinni zamieścić recenzje pracy w systemie APD?,Promotor oraz recenzent powinni zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
Jakie przedmioty i dokumenty mogą znajdować się na stole studenta podczas pisania sprawdzianu lub egzaminu?,"Podczas pisania sprawdzianu lub egzaminu na stole studenta mogą znajdować się wyłącznie przedmioty niezbędne do przeprowadzenia weryfikacji, takie jak długopis i kartki papieru, a także osobista legitymacja studencka lub dowód osobisty."
Kto pełni funkcję Prodziekana ds. Nauczania na Wydziale MiNI?,Funkcję Prodziekana ds. Nauczania na Wydziale MiNI pełni dr inż. Krzysztof Kaczmarski.
Na ile dni przed terminem egzaminu dyplomowego promotor i recenzent mają obowiązek zamieścić recenzje w systemie APD?,Promotor oraz recenzent mają obowiązek zamieścić recenzje pracy dyplomowej w systemie APD co najmniej 3 dni przed terminem egzaminu dyplomowego.
tutaj wpisz jedno konkretne pytanie studenta,"Proszę o zadanie konkretnego pytania, abym mógł udzielić Panu lub Pani odpowiedzi."
"W jakich godzinach i w jakiej sali odbywają się ćwiczenia z przedmiotu ""Kreatywne zarządzanie"" dla grupy 1 na pierwszym semestrze Informatyki i Systemów Informacyjnych?",Ćwiczenia z przedmiotu Kreatywne zarządzanie dla grupy 1 na pierwszym semestrze Informatyki i Systemów Informacyjnych odbywają się w poniedziałek w godzinach 14:15–16:00 w sali 105 budynku MiNI.
Gdzie i w jakich godzinach odbywał się Kiermasz Świąteczny Politechniki Warszawskiej w dniach 5-6 grudnia 2024 roku?,Kiermasz Świąteczny Politechniki Warszawskiej odbywał się na placu przed Gmachem Głównym Politechniki Warszawskiej w godzinach od 10.00 do 17.00.
Kto ma pierwszeństwo przy przyznawaniu kart parkingowych uprawniających do korzystania z miejsc będących w dyspozycji Wydziału MiNI?,"Pierwszeństwo przy przyznawaniu kart parkingowych mają osoby, których stan zdrowia uniemożliwia lub utrudnia korzystanie z komunikacji miejskiej."
"W jakie dni tygodnia i w jakich godzinach jest czynny dziekanat Wydziału MiNI, a w który dzień tygodnia jest zamknięty?","Sorry, I encountered an error while generating the response."
Z kim i pod jakim adresem e-mail należy kontaktować się na Wydziale MiNI w sprawach dotyczących studenckich programów wymiany międzynarodowej (np. Erasmus)?,"W sprawach dotyczących studenckich programów wymiany międzynarodowej, takich jak Erasmus, należy kontaktować się z dr Pawłem Wójcickim lub dr inż. Magdaleną Jasionowską-Skop pod adresem e-mail erasmus.mini@pw.edu.pl."
"W jakiej formie i gdzie dokładnie należy składać wnioski o stypendium socjalne, zapomogę oraz stypendium rektora?","Wnioski o stypendium socjalne, zapomogę oraz stypendium rektora należy składać w formie elektronicznej za pośrednictwem systemu USOSweb. W przypadku stypendium rektora wniosek składa się w systemie USOSweb w zakładce Wszystkie, a następnie Wnioski."
"Ile minimalnie punktów ECTS musi uzyskać student studiów pierwszego stopnia, aby otrzymać rejestrację na semestr 2?","Student studiów pierwszego stopnia musi uzyskać co najmniej 16 punktów ECTS, aby otrzymać rejestrację na semestr 2."
Jakie wymiary marginesów są zalecane przy formatowaniu tekstu pracy dyplomowej?,"Zalecane marginesy przy formatowaniu tekstu pracy dyplomowej to 30 mm dla marginesu wewnętrznego, 20 mm dla marginesu zewnętrznego oraz 25 mm dla marginesów górnego i dolnego."
W jaki sposób student powinien złożyć podanie o zmianę grupy studenckiej lub zajęciowej?,"Sorry, I encountered an error while generating the response."
"Jaki dokument dotyczący praktyk studenckich jest jedynym, który należy obowiązkowo dostarczyć na wydział w formie papierowej?",Nie mam tej informacji w dostępnych zasobach.
W jakim terminie student powinien złożyć wniosek o przeniesienie na inny program studiów?,"Wniosek o przeniesienie na inny program studiów powinien zostać złożony nie później niż 1 miesiąc przed rozpoczęciem semestru, w którym student ma zostać przyjęty na studia."
"Jakie są minimalne wymagania punktowe do zaliczenia przedmiotu ""Zaawansowane programowanie obiektowe i funkcyjne""?",Nie mam tej informacji w dostępnych zasobach.
W którym pokoju urzęduje Krzysztof Banecki na Wydziale MiNI i w jaki sposób można się z nim skontaktować?,Krzysztof Banecki urzęduje w pokoju 422 w Gmachu MiNI na Kampusie Głównym PW. Kontakt z nim jest możliwy drogą elektroniczną pod adresem e-mail krzysztof.banecki@pw.edu.pl.
O zwrot jakich kosztów może ubiegać się student starający się o dofinansowanie praktyki odbywanej poza stałym miejscem zamieszkania i siedzibą uczelni?,Student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania oraz dojazdów.
Jakie przedmioty mogą leżeć na stole studenta w trakcie trwania sprawdzianu lub egzaminu na Wydziale MiNI?,"Na stole studenta mogą leżeć wyłącznie przedmioty niezbędne do przeprowadzenia sprawdzianu lub egzaminu, takie jak długopis i kartki papieru, a także osobista legitymacja studencka lub dowód osobisty."
Ile razy w ciągu jednego roku akademickiego student może maksymalnie otrzymać zapomogę?,Student może otrzymać zapomogę nie częściej niż dwa razy w roku akademickim.
"Jakie wsparcie finansowe otrzymuje student uczestniczący w projekcie ""Szkoła Orłów na PW""?","Student uczestniczący w projekcie Szkoła Orłów na PW otrzymuje wsparcie stypendialne w wysokości 1370,70 zł miesięcznie."
Na jakim poziomie znajomości języka obcego absolwent powinien potrafić przygotować i przedstawić referat z wynikami badań zgodnie z efektem uczenia się M2_U09?,Nie mam tej informacji w dostępnych zasobach.
